Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand D,CHERRY,8,$4.04 ,8,6
Brand D,CHERRY,"2,186",$7.01 ,134,"1,155"
Brand A,CHERRY,"42,368",$8.71 ,"12,291","11,838"
Brand C,PRUNE,118,$6.39 ,0,68
Brand H,REMAINING FLAVOR,0,,0,
Brand I,REMAINING FLAVOR,0,,0,
Brand I,REMAINING FLAVOR,273,$6.56 ,114,97
Brand A,REMAINING FLAVOR,417,$5.27 ,0,136
Brand C,ORANGE BLEND,355,$7.82 ,87,231
Brand C,REMAINING FLAVOR,140,$8.17 ,32,66.0
Brand A,REMAINING FLAVOR,13,$8.07 ,0,12
Brand A,REMAINING FLAVOR,180,$7.59 ,0,110
Brand F,PRUNE,40,$4.99 ,0,5
Brand A,REMAINING FLAVOR,2,$4.38 ,0,2
Brand A,REMAINING FLAVOR,82,$4.33 ,0,42
Brand F,REMAINING FLAVOR,0,,0,
Brand A,CARROT,1,$6.49 ,0,1
Brand A,BLUEBERRY,"8,427",$7.84 ,"2,737","4,398"
Brand E,CRANBERRY,"2,172",$7.50 ,205,"1,104"
Brand C,ORANGE,185,$8.65 ,146,110
Brand C,PINEAPPLE,"3,059",$6.91 ,122,"1,093"
Brand L,REMAINING FLAVOR,34,$7.63 ,34,20
Brand A,GRAPEFRUIT,45,$7.65 ,33,27
Brand A,BERRY POMEGRANATE,18,$6.38 ,18,11
Brand A,BLUEBERRY,109,$5.34 ,1,30
Brand M,MANGO,0,,0,
Brand C,PRUNE,"2,572",$7.49 ,"2,572","1,055"
Brand C,BLUEBERRY,41,$10.75 ,0,28
Brand L,PEACH,30,$5.02 ,0,11
Brand A,REMAINING FLAVOR,471,$4.13 ,184,207
Brand C,ORANGE,34,$7.29 ,0,20
Brand A,REMAINING FLAVOR,776,$6.83 ,749,191
Brand F,CHERRY,"8,147",$5.24 ,"2,744",502.0
Brand C,REMAINING FLAVOR,141,$6.82 ,25,98
Brand A,REMAINING FLAVOR,91,$3.27 ,0,32
Brand D,CHERRY,"10,002",$6.97 ,"1,050","3,694"
Brand L,REMAINING FLAVOR,16,$5.02 ,0,10
Brand C,REMAINING FLAVOR,720,$7.45 ,0,259
Brand C,POMEGRANATE,400,$8.57 ,400,169
Brand F,ORANGE BLEND,"2,660",$3.97 ,194,819
Brand L,REMAINING FLAVOR,3,$4.66 ,3,2
Brand C,CARROT,"1,029",$8.30 ,"1,020",586
Brand A,CRANBERRY BLEND,8,$5.17 ,0,4
Brand C,REMAINING FLAVOR,210,$7.02 ,192,88
Brand C,REMAINING FLAVOR,316,$8.99 ,0,99
Brand H,ORANGE BLEND,130,$4.81 ,6,67
Brand K,REMAINING FLAVOR,102,$7.10 ,9,60.0
Brand A,CRANBERRY BLEND,972,$5.53 ,91,420
Brand A,GRAPEFRUIT,0,,0,
Brand A,CRANBERRY,224,$10.27 ,199,122.0
Brand A,POMEGRANATE,148,$9.21 ,7,74
Brand A,GRAPEFRUIT,5,$2.99 ,0,1
Brand G,CRANBERRY BLEND,105,$8.19 ,0,70
Brand C,CARROT,325,$5.97 ,18,172
Brand C,CRANBERRY,"20,597",$10.34 ,"8,078","6,348"
Brand C,REMAINING FLAVOR,"3,030",$7.80 ,"2,203","1,185"
Brand C,ORANGE BLEND,380,$6.76 ,380,196
Brand C,CHERRY,0,,0,
Brand C,CRANBERRY,296,$12.12 ,257,108
Brand C,CHERRY,179,$6.99 ,0,75
Brand F,GRAPE,151,$4.92 ,0,125
Brand A,REMAINING FLAVOR,"1,678",$5.92 ,0,830
Brand C,REMAINING FLAVOR,286,$7.35 ,86,103
Brand A,REMAINING FLAVOR,1,$4.59 ,0,1
Brand C,PINEAPPLE,"4,320",$7.04 ,"2,810","1,500"
Brand A,REMAINING FLAVOR,1,$5.49 ,0,1
Brand B,BLUEBERRY,"5,857",$5.27 ,977,"2,490"
Brand C,REMAINING FLAVOR,13,$5.99 ,0,11
Brand F,ORANGE BLEND,"4,578",$3.73 ,"3,416",480
Brand A,CHERRY,398,$6.90 ,18,275
Brand H,CRANBERRY BLEND,0,,0,
Brand F,CHERRY,"2,594",$5.62 ,275,636
Brand N,BERRY BLEND,337,$4.91 ,0,257
Brand C,ORANGE,644,$5.98 ,15,398
Brand F,GRAPEFRUIT,9,$5.99 ,0,8
Brand J,CHERRY,"2,286",$5.62 ,0,978
Brand A,REMAINING FLAVOR,864,$5.23 ,35,257
Brand A,REMAINING FLAVOR,176,$7.92 ,13,75
Brand A,BLUEBERRY,394,$7.71 ,53,281
Brand L,REMAINING FLAVOR,2,$4.99 ,0,1.0
Brand A,REMAINING FLAVOR,208,$4.77 ,0,82
Brand C,CHERRY,8,$6.73 ,8,3
Brand L,REMAINING FLAVOR,60,$5.94 ,0,29
Brand E,CRANBERRY,"5,841",$6.27 ,"1,390","2,271"
Brand C,POMEGRANATE,"2,710",$9.53 ,"2,710","1,074"
Brand H,REMAINING FLAVOR,0,,0,
Brand M,REMAINING FLAVOR,0,,0,
Brand A,REMAINING FLAVOR,0,,0,
Brand F,REMAINING FLAVOR,"3,398",$5.42 ,447,"1,277"
Brand H,GRAPE,23,$5.19 ,0,8
Brand E,REMAINING FLAVOR,9,$5.49 ,0,6
Brand H,FRUIT PUNCH,643,$5.26 ,50,455
Brand A,REMAINING FLAVOR,192,$4.98 ,0,96
Brand H,ORANGE BLEND,334,$5.92 ,0,136
Brand A,REMAINING FLAVOR,0,,0,
Brand A,POMEGRANATE,"6,607",$8.55 ,"2,045","3,723"
Brand A,CRANBERRY BLEND,139,$4.67 ,9,78
Brand H,ORANGE BLEND,"1,329",$6.01 ,7,719
Brand C,CRANBERRY BLEND,8,$0.59 ,0,2
Brand F,PRUNE,41,$4.99 ,0,5
Brand L,MANGO,13,$5.79 ,0,8
Brand A,CHERRY,431,$8.25 ,6,133
Brand H,REMAINING FLAVOR,755,$3.00 ,5,399
Brand M,PEACH,865,$5.23 ,40,442
Brand C,REMAINING FLAVOR,121,$7.34 ,16,51
Brand M,REMAINING FLAVOR,61,$5.44 ,0,27
Brand A,BERRY POMEGRANATE,51,$4.09 ,51,21
